,x
836,0.1286461599665233
837,0.12708310799887448
838,0.1255170744369565
839,0.12394805304539404
840,0.04324999212316667
841,0.04152150579361984
842,0.32792557636084885
843,0.3307051161861332
844,0.33343375075150156
845,0.3604420216380431
846,0.3626512529738066
847,0.36482335847118
848,0.46034080319807374
849,0.46073367418733935
850,0.46111409605213277
851,0.46148217164273686
852,0.4618380023904629
853,0.46218168833878187
854,0.1302062364780499
855,0.1286461599665233
856,0.1223760374916794
857,0.12080102134626233
858,0.11922299808264393
859,0.11764196107746798
860,0.11605790361061144
861,0.11447081886527491
862,0.11288069992806958
863,0.11128753978910927
864,0.10969133134209483
865,0.10809206738440359
866,0.04152150579361984
867,0.039789586694785835
868,0.32220785442258737
869,0.3250936696483516
870,0.32792557636084885
871,0.3307051161861332
872,0.33343375075150156
873,0.35121727442491935
874,0.353583378837809
875,0.35590893828044173
876,0.3581948620485073
877,0.3604420216380431
878,0.46251332817352325
879,0.46372135419333665
880,0.46399419823449695
881,0.4642555613493457
882,0.46450553349476087
883,0.13176334357427855
884,0.1302062364780499
885,0.10648974061717334
886,0.039789586694785835
887,0.03805422364844306
888,0.3162678928893077
889,0.31926650266365497
890,0.32220785442258737
891,0.3250936696483516
892,0.32792557636084885
893,0.3307051161861332
894,0.33343375075150156
895,0.3438659793354767
896,0.3463595898360118
897,0.3488096755348655
898,0.35121727442491935
899,0.353583378837809
900,0.35590893828044173
901,0.46251332817352325
902,0.46283301925218523
903,0.46314085763238266
904,0.4634369380994656
905,0.46372135419333665
906,0.46399419823449695
907,0.4642555613493457
908,0.46450553349476087
909,0.4647442034819854
910,0.4649716589998419
911,0.13331748719861672
912,0.13176334357427855
913,0.10648974061717334
914,0.10488434364539051
915,0.039789586694785835
916,0.03805422364844306
917,0.31009149820462373
918,0.31321020232429375
919,0.3162678928893077
920,0.31926650266365497
921,0.32220785442258737
922,0.3250936696483516
923,0.32792557636084885
924,0.3307051161861332
925,0.33343375075150156
926,0.3361128674839667
927,0.3387437848787612
928,0.3413277572959021
929,0.3438659793354767
930,0.4649716589998419
931,0.46518798663730027
932,0.46539327190541974
933,0.46558759925868426
934,0.13331748719861672
935,0.10488434364539051
936,0.10327586897797252
937,0.10166430902785441
938,0.10004965611206944
939,0.09843190245183533
940,0.03805422364844306
941,0.036315405383197524
942,0.3069097280970074
943,0.31009149820462373
944,0.31321020232429375
945,0.3162678928893077
946,0.31926650266365497
947,0.32220785442258737
948,0.3250936696483516
949,0.32792557636084885
950,0.3307051161861332
951,0.33343375075150156
952,0.3361128674839667
953,0.3387437848787612
954,0.46558759925868426
955,0.46577105211575537
956,0.46594371287965847
957,0.46610566295742417
958,0.46625698277919875
959,0.4663977518168472
960,0.46652804860205677
961,0.13950454243018112
962,0.13796219521106845
963,0.13641690731758332
964,0.1348686731969575
965,0.13331748719861672
966,0.09843190245183533
967,0.09681104017263437
968,0.09518706130429394
969,0.09355995778107014
970,0.036315405383197524
971,0.29696346635056925
972,0.3003481157181776
973,0.30366270909360993
974,0.3069097280970074
975,0.31009149820462373
976,0.31321020232429375
977,0.3162678928893077
978,0.31926650266365497
979,0.32220785442258737
980,0.3250936696483516
981,0.32792557636084885
982,0.3307051161861332
983,0.46664795074396725
984,0.4667575349463334
985,0.46685687702424256
986,0.19741050180820682
987,0.19597956424603083
988,0.14564463218941867
989,0.14411399409975834
990,0.1425804365667254
991,0.1410439544297817
992,0.13950454243018112
993,0.13796219521106845
994,0.13641690731758332
